datetime,open,high,low,close,volume
2025-02-25 17:25:00,6339.71,6340.26,6339.159,6339.159,4529
2025-02-25 17:26:00,6339.159,6340.26,6337.507,6337.507,2558
2025-02-25 17:27:00,6337.507,6338.608,6337.507,6338.058,1728
2025-02-25 17:28:00,6338.058,6339.71,6338.058,6339.159,1913
2025-02-25 17:29:00,6339.71,6339.71,6338.058,6338.608,960
2025-02-25 17:30:00,6338.608,6339.71,6338.058,6338.608,2016
2025-02-25 17:31:00,6338.608,6339.71,6338.608,6339.71,753
2025-02-25 17:32:00,6339.159,6339.71,6338.058,6338.608,749
2025-02-25 17:33:00,6338.058,6339.159,6338.058,6338.058,926
2025-02-25 17:34:00,6338.608,6339.71,6338.058,6338.608,741
2025-02-25 17:35:00,6338.608,6339.159,6338.058,6338.608,476
2025-02-25 17:36:00,6338.608,6338.608,6336.406,6336.957,3175
2025-02-25 17:37:00,6337.507,6337.507,6336.406,6336.406,946
2025-02-25 17:38:00,6336.406,6336.957,6336.406,6336.957,560
2025-02-25 17:39:00,6336.957,6337.507,6336.406,6336.957,836
2025-02-25 17:40:00,6337.507,6337.507,6336.957,6336.957,611
2025-02-25 17:41:00,6336.957,6338.058,6336.957,6336.957,1240
2025-02-25 17:42:00,6336.957,6337.507,6336.957,6336.957,180
2025-02-25 17:43:00,6336.957,6338.058,6336.957,6338.058,642
2025-02-25 17:44:00,6337.507,6338.058,6336.957,6338.058,1207
2025-02-25 17:45:00,6338.058,6338.608,6337.507,6338.058,1116
2025-02-25 17:46:00,6338.058,6338.058,6337.507,6337.507,235
2025-02-25 17:47:00,6338.058,6338.608,6337.507,6338.058,889
2025-02-25 17:48:00,6338.608,6338.608,6338.058,6338.608,176
2025-02-25 17:49:00,6338.058,6338.608,6338.058,6338.058,484
2025-02-25 17:50:00,6338.608,6340.811,6338.058,6339.71,1746
2025-02-25 17:51:00,6340.26,6340.26,6338.608,6339.71,1183
2025-02-25 17:52:00,6339.71,6340.26,6339.159,6339.159,604
2025-02-25 17:53:00,6339.159,6339.71,6338.058,6338.058,1894
2025-02-25 17:54:00,6338.058,6339.159,6338.058,6338.608,698
2025-02-25 17:55:00,6338.058,6340.26,6338.058,6340.26,1383
2025-02-25 17:56:00,6340.26,6340.811,6339.159,6339.71,1090
2025-02-25 17:57:00,6339.71,6339.71,6338.058,6338.058,1455
2025-02-25 17:58:00,6338.058,6338.058,6336.957,6336.957,967
2025-02-25 17:59:00,6336.957,6338.058,6336.957,6337.507,721
2025-02-25 18:00:00,6337.507,6338.058,6332.552,6333.102,6095
2025-02-25 18:01:00,6333.102,6333.653,6332.001,6333.102,2110
2025-02-25 18:02:00,6333.102,6333.102,6330.9,6332.552,4423
2025-02-25 18:03:00,6332.001,6333.653,6332.001,6332.001,1507
2025-02-25 18:04:00,6332.001,6333.102,6331.45,6332.552,931
2025-02-25 18:05:00,6332.552,6333.102,6331.45,6332.552,673
2025-02-25 18:06:00,6332.001,6332.552,6330.9,6332.001,999
2025-02-25 18:07:00,6331.45,6332.001,6331.45,6332.001,324
2025-02-25 18:08:00,6332.001,6332.001,6329.248,6330.9,4667
2025-02-25 18:09:00,6331.45,6333.102,6330.9,6333.102,2828
2025-02-25 18:10:00,6332.552,6333.102,6332.001,6332.001,977
2025-02-25 18:11:00,6332.552,6333.653,6332.001,6333.102,855
2025-02-25 18:12:00,6333.102,6334.754,6332.552,6334.204,3863
2025-02-25 18:13:00,6334.754,6334.754,6332.001,6332.001,2365
2025-02-25 18:14:00,6332.001,6332.552,6330.349,6330.349,934
2025-02-25 18:15:00,6330.9,6333.653,6329.799,6332.001,2759
2025-02-25 18:16:00,6332.001,6332.552,6330.9,6331.45,973
2025-02-25 18:17:00,6331.45,6332.552,6330.9,6332.001,547
2025-02-25 18:18:00,6332.001,6332.001,6329.248,6330.349,3326
2025-02-25 18:19:00,6330.9,6331.45,6330.349,6330.9,1103
2025-02-25 18:20:00,6330.349,6331.45,6328.147,6329.799,4498
2025-02-25 18:21:00,6329.799,6330.9,6328.697,6329.248,1197
2025-02-25 18:22:00,6329.799,6329.799,6326.495,6326.495,2953
2025-02-25 18:23:00,6327.046,6328.147,6324.293,6325.944,6717
2025-02-25 18:24:00,6325.944,6328.697,6325.944,6328.147,1160
2025-02-25 18:25:00,6328.147,6328.697,6325.394,6328.147,3620
2025-02-25 18:26:00,6328.147,6328.697,6327.596,6328.147,519
